year,month,date_of_month,day_of_week,births,date
1994,1,1,6,8096,1/1/1994
1994,1,2,7,7772,1/2/1994
1994,1,3,1,10142,1/3/1994
1994,1,4,2,11248,1/4/1994
1994,1,5,3,11053,1/5/1994
1994,1,6,4,11406,1/6/1994
1994,1,7,5,11251,1/7/1994
1994,1,8,6,8653,1/8/1994
1994,1,9,7,7910,1/9/1994
1994,1,10,1,10498,1/10/1994
1994,1,11,2,11706,1/11/1994
1994,1,12,3,11567,1/12/1994
1994,1,13,4,11212,1/13/1994
1994,1,14,5,11570,1/14/1994
1994,1,15,6,8660,1/15/1994
1994,1,16,7,8123,1/16/1994
1994,1,17,1,10567,1/17/1994
1994,1,18,2,11541,1/18/1994
1994,1,19,3,11257,1/19/1994
1994,1,20,4,11682,1/20/1994
1994,1,21,5,11811,1/21/1994
1994,1,22,6,8833,1/22/1994
1994,1,23,7,8310,1/23/1994
1994,1,24,1,11125,1/24/1994
1994,1,25,2,11981,1/25/1994
1994,1,26,3,11514,1/26/1994
1994,1,27,4,11702,1/27/1994
1994,1,28,5,11666,1/28/1994
1994,1,29,6,8988,1/29/1994
1994,1,30,7,8096,1/30/1994
1994,1,31,1,10765,1/31/1994
1994,2,1,2,11755,2/1/1994
1994,2,2,3,11483,2/2/1994
1994,2,3,4,11523,2/3/1994
1994,2,4,5,11677,2/4/1994
1994,2,5,6,8991,2/5/1994
1994,2,6,7,8309,2/6/1994
1994,2,7,1,10984,2/7/1994
1994,2,8,2,12152,2/8/1994
1994,2,9,3,11515,2/9/1994
1994,2,10,4,11623,2/10/1994
1994,2,11,5,11517,2/11/1994
1994,2,12,6,8945,2/12/1994
1994,2,13,7,8171,2/13/1994
1994,2,14,1,11551,2/14/1994
1994,2,15,2,12164,2/15/1994
1994,2,16,3,12009,2/16/1994
1994,2,17,4,11674,2/17/1994
1994,2,18,5,11887,2/18/1994
1994,2,19,6,8946,2/19/1994
1994,2,20,7,8402,2/20/1994
1994,2,21,1,10617,2/21/1994
1994,2,22,2,11810,2/22/1994
1994,2,23,3,11776,2/23/1994
1994,2,24,4,11667,2/24/1994
1994,2,25,5,11905,2/25/1994
1994,2,26,6,8988,2/26/1994
1994,2,27,7,8195,2/27/1994
1994,2,28,1,11091,2/28/1994
1994,3,1,2,12127,3/1/1994
1994,3,2,3,11735,3/2/1994
1994,3,3,4,11984,3/3/1994
1994,3,4,5,12066,3/4/1994
1994,3,5,6,9215,3/5/1994
1994,3,6,7,8389,3/6/1994
1994,3,7,1,10996,3/7/1994
1994,3,8,2,12275,3/8/1994
1994,3,9,3,11780,3/9/1994
1994,3,10,4,11792,3/10/1994
1994,3,11,5,11939,3/11/1994
